	ON	OTU	Kingdom	Supergroup	Phylum	Class	Order	Family	Genus	Species
28	11	Otu00011	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Sphaeropleales	Radiococcaceae	Neocystis	Neocystis_brevis
29	241	Otu00241	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Sphaeropleales	Radiococcaceae	Neocystis	Neocystis_sp
30	318	Otu00318	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Sphaeropleales	Radiococcaceae	Neocystis	Neocystis_brevis
31	69	Otu00069	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Trebouxiales	Trebouxiales	Parietochloris	Parietochloris_alveolaris
32	181	Otu00181	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Trebouxiales	Trebouxiales	Parietochloris	Parietochloris_cohaerens
33	405	Otu00405	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Trebouxiales	Trebouxiales	Parietochloris	Parietochloris_alveolaris
34	205	Otu00205	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellales	Picochlorum	Picochlorum_eukaryotum
35	2	Otu00002	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Prasiolales	Stichococcaceae	Desmococcus	Desmococcus_olivaceus
36	117	Otu00117	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Prasiolales	Stichococcaceae	Desmococcus	Desmococcus_olivaceus
37	176	Otu00176	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Prasiolales	Stichococcaceae	Desmococcus	Desmococcus_olivaceus
38	200	Otu00200	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Prasiolales	Stichococcaceae	Desmococcus	Desmococcus_olivaceus
39	5	Otu00005	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Prasiolales	Prasiolales	Elliptochloris	Elliptochloris_sp
40	15	Otu00015	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Prasiolales	Prasiolales	Elliptochloris	Elliptochloris_subsphaerica
